,State,cycle,AreaNumber,alpha,beta
106,CA,1970,15,44.431210211401961,19.389569327739537
107,CA,1970,16,12.904676756109009,7.4160587515912972
108,CA,1970,17,9.3284365589651106,10.758593343991256
109,CA,1970,18,19.910822982276517,33.482058152680992
110,CA,1970,19,3.3782581573389145,5.3357062174287844
111,CA,1970,20,10.847857325088704,21.92605873621411
112,CA,1970,21,13.866420382432935,6.6238171712902014
113,CA,1970,22,7.2811757335681948,9.2640998183097025
114,CA,1970,23,12.765976544123054,8.3288637723146994
115,CA,1970,24,7.6596112042246842,5.123692294562642
116,CA,1970,25,7.3444021793380569,4.8608076791797119
117,CA,1970,26,5.5456913694412604,7.1693713704474762
118,CA,1970,27,29.315673949111417,37.835373605317749
119,CA,1970,28,6.3482396846931444,2.8319370318141375
120,CA,1970,29,17.229166814757413,3.9487069355005233
121,CA,1970,30,78.538171044129911,28.766009418902645
122,CA,1970,31,38.196608681096777,20.929484595715227
123,CA,1970,32,7.1889061873102573,4.5680094296052332
124,CA,1970,33,12.616679135246184,20.98616730509087
125,CA,1970,34,7.1337895936268634,7.5817534987685207
126,CA,1970,35,16.073147279224202,12.724897564675576
127,CA,1970,36,23.891414241539675,16.788836047679336
128,CA,1970,37,3.5212343003658932,5.3680394120100985
129,CA,1970,38,69.180542596257695,48.743646202148319
130,CA,1970,39,17.264300891322709,31.244922970575686
131,CA,1970,40,19.145909876121792,39.874217368026528
132,CA,1970,41,9.7084733735239919,9.9070749781357161
133,CA,1970,42,5.4003312965518822,3.7072854300359159
134,CA,1970,43,8.5031588445825914,18.63402694692228
135,CA,1980,1,21.128004294274202,13.690832123553374
136,CA,1980,2,37.751848223710951,64.466308718338396
137,CA,1980,3,70.974568606524173,30.100396071799377
138,CA,1980,4,74.381847825220731,42.445856360417046
139,CA,1980,5,28.406535022066066,10.141650909687813
140,CA,1980,6,31.691099069838017,15.070175331181176
141,CA,1980,7,93.257087887394761,47.517443296513356
142,CA,1980,8,72.477463576589628,45.578132305892332
143,CA,1980,9,40.956234837033008,20.28059714664866
144,CA,1980,10,84.672672433059986,43.289880601455771
145,CA,1980,11,46.337451906509457,20.216492118336316
146,CA,1980,12,38.952291603769631,62.052828946012909
147,CA,1980,13,99.256642094564356,48.85694649300244
148,CA,1980,14,12.667374374142948,23.772293413203911
149,CA,1980,15,96.570514584355607,44.769571045095205
150,CA,1980,16,57.08734479824512,15.501260270789269
151,CA,1980,17,10.84560386623242,16.768636084583925
152,CA,1980,18,80.061663670806581,38.820021303524058
153,CA,1980,19,15.64412690543921,25.620659346615422
154,CA,1980,20,36.484182474776162,83.093296827726064
155,CA,1980,21,28.876293720245783,69.394270904088344
156,CA,1980,22,23.64627083506015,61.418577936179091
157,CA,1980,23,101.1557903833325,57.113244155008253
158,CA,1980,24,82.099662546856138,34.600873745511443
159,CA,1980,25,128.30048350973428,41.344482618319219
160,CA,1980,26,81.184026981659215,45.087030491487496
161,CA,1980,27,66.135436501294663,39.20060581262095
162,CA,1980,28,119.09322870094566,32.779704814009804
163,CA,1980,29,76.462775630144989,14.870892570047872
164,CA,1980,30,66.610837090495323,46.121597350310402
165,CA,1980,31,112.92488208710262,45.791072174543558
166,CA,1980,32,65.703232449528471,36.146428981683016
167,CA,1980,33,40.267145737830432,96.051910024281042
168,CA,1980,34,110.12571522917813,71.911621045796807
169,CA,1980,35,29.790563730779102,70.960079725352031
170,CA,1980,36,121.29492232182577,97.903578536542398
171,CA,1980,37,36.98033858566393,58.547777828941733
172,CA,1980,38,33.899612796340193,42.034540301770534
173,CA,1980,39,30.323127654228756,86.100475960637581
174,CA,1980,40,34.832115755372435,71.911450422293058
175,CA,1980,41,21.011427827867283,39.340582228958908
176,CA,1980,42,23.599078015206782,54.189757975616118
177,CA,1980,43,33.524276746057595,92.307343134771557
178,CA,1980,44,29.15353278818997,17.027900836870622
179,CA,1980,45,31.264022690425044,94.669866444841489
180,CA,1990,1,17.922987386953249,14.081284413284866
181,CA,1990,2,46.695795473731003,99.096662677012489
182,CA,1990,3,39.990531963900125,39.193562445206766
183,CA,1990,4,33.060820995426049,53.876967094482218
184,CA,1990,5,150.13268403845797,57.230115852536372
185,CA,1990,6,90.34220319799914,46.43440348398812
186,CA,1990,7,110.89133076555611,36.278547790073972
187,CA,1990,8,78.942026895367761,12.276570133062025
188,CA,1990,9,39.471155815801922,8.8897263232245365
189,CA,1990,10,39.490639669517563,40.212728886450236
190,CA,1990,11,39.700207105457679,59.730267015101823
191,CA,1990,12,72.971079353833773,24.77799617043047
192,CA,1990,13,90.946110411455521,39.344230999614439
193,CA,1990,14,49.225296494036591,25.072840716261688
194,CA,1990,15,11.620596024334024,10.807666041245696
195,CA,1990,16,61.64432737618089,26.242348695082107
196,CA,1990,17,27.767119141452799,14.299126435058948
197,CA,1990,18,167.72886930225982,80.138429784477253
198,CA,1990,19,20.430851870291932,32.656947745763794
199,CA,1990,20,75.134858217553969,52.269344726142101
200,CA,1990,21,41.490656920110645,99.006378014382221
201,CA,1990,22,39.668066922739918,38.872336849832998
202,CA,1990,23,33.509464078595812,53.487425777772344
203,CA,1990,24,38.934995950151084,27.853808854245536
204,CA,1990,25,69.221874179152039,127.09235959715846
205,CA,1990,26,150.78859159590198,72.38668760498858
206,CA,1990,27,62.282893110960821,68.994948653526095
207,CA,1990,28,50.608924989523466,83.06128587124357
208,CA,1990,29,80.138987070635594,27.938886331084348
209,CA,1990,30,33.701662641161825,9.5850975693718823
210,CA,1990,31,45.417460871192539,22.429700374443406
211,CA,1990,32,80.1967382233032,12.948152588349199
212,CA,1990,33,24.080519856275501,5.2313745993001044
213,CA,1990,34,63.562565292686365,28.027555996243986
214,CA,1990,35,57.756706152349295,10.092623222319984
215,CA,1990,36,109.27879505956741,102.63640991676482
216,CA,1990,37,107.53847512574481,17.444741468532484
217,CA,1990,38,62.286027656525938,75.70630829055483
218,CA,1990,39,49.793978579874214,94.324803434233516
219,CA,1990,40,67.343667042520025,146.10418325125056
220,CA,1990,41,67.846673079632822,108.20425790632318
221,CA,1990,42,56.595052422866537,45.936909978383717
222,CA,1990,43,61.256468148926089,80.587398429026891
223,CA,1990,44,88.04892208383761,132.56943072512874
224,CA,1990,45,44.908015420134532,79.110882643796089
225,CA,1990,46,20.279961758149948,19.156889617897345
226,CA,1990,47,52.457795848678089,122.4029283825176
227,CA,1990,48,37.724833141122524,91.956733061614941
228,CA,1990,49,73.26204241722283,74.347838450667268
229,CA,1990,50,96.630143304623104,49.302852663737703
230,CA,1990,51,46.523418407712356,93.711133269996665
231,CA,1990,52,34.513490513457199,63.67032979411718
232,CA,2000,1,107.60402702057702,47.148163753632865
233,CA,2000,2,33.437814758619439,58.167004411756778
234,CA,2000,3,38.987921927201768,56.679537113327029
235,CA,2000,4,20.102104480957998,30.256826820888953
236,CA,2000,5,138.94532798284189,46.15976618005304
237,CA,2000,6,126.70523302918171,49.926774804111673
238,CA,2000,7,98.903839851722196,35.480673397019366
239,CA,2000,8,102.70808815053238,15.424125632591466
240,CA,2000,9,88.754241748053005,12.307740308668865
241,CA,2000,10,127.16657383404522,67.884729255489347
242,CA,2000,11,28.255011722027199,31.209029648485597
243,CA,2000,12,120.35312860090615,36.521042124661321
244,CA,2000,13,147.7918088844778,49.410815446434064
245,CA,2000,14,136.7407343747106,50.622011563954715
246,CA,2000,15,104.06665464622448,42.334856737062601
247,CA,2000,16,139.9800585657195,52.694275301410762
248,CA,2000,17,102.69044861121539,39.380385447885992
249,CA,2000,18,60.635061680135479,37.938418248817925
250,CA,2000,19,44.735785554077296,88.146889092523253
251,CA,2000,20,25.897440262369788,16.403018060909684
252,CA,2000,21,57.236802724748799,139.05359831289556
253,CA,2000,22,55.795228338216383,150.89358534309545
254,CA,2000,23,106.47618592482596,60.408270437528607
255,CA,2000,24,56.891372846838387,94.669751635655871
256,CA,2000,25,56.864254103450847,96.248251617354569
257,CA,2000,26,59.3349826891709,87.148090100149886
258,CA,2000,27,79.752336322988285,39.474521065010869
259,CA,2000,28,143.67367600417944,44.285567211299941
260,CA,2000,29,125.31450617834274,57.885687569763952
261,CA,2000,30,137.96475560338266,58.036196822838448
262,CA,2000,31,137.58047809852553,30.812086916460338
263,CA,2000,32,184.9112411007315,74.662321446873591
264,CA,2000,33,122.69903656267701,19.239268034917245
265,CA,2000,34,150.68802549692305,47.767753511939809
266,CA,2000,35,94.730967039422509,20.016736935570982
267,CA,2000,36,138.86430862230483,73.514735970370026
268,CA,2000,37,149.63358945241626,45.811734575914272
269,CA,2000,38,171.55868551301606,60.45642562152004
270,CA,2000,39,69.274373583443932,39.119282104432827
271,CA,2000,40,60.133248155593051,122.57101575688445
272,CA,2000,41,59.843438933846592,111.94781695990986
273,CA,2000,42,48.740618134007093,94.604039848637839
274,CA,2000,43,146.87959217684605,72.972480148155441
275,CA,2000,44,31.47184995230451,46.92384856376195
276,CA,2000,45,40.258960629716618,64.118358845911501
277,CA,2000,46,52.514430015552193,84.720416189128173
278,CA,2000,47,52.6947509008927,30.439049085620955
279,CA,2000,48,38.029186636923896,67.119379671816603
280,CA,2000,49,78.743287692252011,141.33086523344346
281,CA,2000,50,40.074301726044119,57.661255226085778
282,CA,2000,51,45.969796531164647,24.227035923509789
283,CA,2000,52,28.970821544562387,59.890120409713894
284,CA,2000,53,91.943984471651106,44.411190478350477
285,CA,2010,1,184.70372998765055,267.50552559779783
286,CA,2010,2,197.82324154017505,68.205678822275402
287,CA,2010,3,158.57132045830207,127.47514194589854
288,CA,2010,4,207.21171054044365,337.01356298498069
289,CA,2010,5,300.71736842239005,96.616800996865067
290,CA,2010,6,288.05055637130346,99.168684420351283
291,CA,2010,7,300.67851095736427,287.9285652164404
292,CA,2010,8,116.7447105948506,213.68929598966102
293,CA,2010,9,209.9936170766286,171.15691385503879
294,CA,2010,10,188.42866968126572,216.96155946802213
295,CA,2010,11,235.8712263835952,102.60519625451856
296,CA,2010,12,253.39428877719971,47.425144100213878
297,CA,2010,13,179.21924266086205,20.510628688482512
298,CA,2010,14,229.57242945852482,61.669937247791204
299,CA,2010,15,258.57993724436659,100.61675388474474
300,CA,2010,16,133.28648669733047,107.33953443795156
301,CA,2010,17,349.88903427160454,125.86100725881298
302,CA,2010,18,277.23731481813093,119.97250243772143
303,CA,2010,19,345.69603226251076,124.02371760603863
304,CA,2010,20,282.29964476318526,107.69394207668402
305,CA,2010,21,246.00310726996594,332.06370859827723
306,CA,2010,22,52.172849731086814,106.69671378162715
307,CA,2010,23,79.625528252101887,202.10495120448155
308,CA,2010,24,264.28653252860084,229.88099222213407
309,CA,2010,25,263.44472469057536,308.52594950687364
310,CA,2010,26,103.81036122250839,85.621254572212592
311,CA,2010,27,143.43105856612979,82.142472118359379
312,CA,2010,28,315.55570211925385,92.938443493257594
313,CA,2010,29,345.56509056883795,117.57739078461043
314,CA,2010,30,165.25747271951496,72.306569379477438
315,CA,2010,31,226.5636518018521,191.70997835395073
316,CA,2010,32,190.75791324121295,111.71661356918307
317,CA,2010,33,160.025798828614,93.33917265951618
318,CA,2010,34,257.50310647787654,43.26339712962934
319,CA,2010,35,353.80122532911292,134.93584670838578
320,CA,2010,36,104.16859669184309,80.552206679165081
321,CA,2010,37,233.58741118701687,39.695056338417366
322,CA,2010,38,85.462275267880059,44.608559903592116
323,CA,2010,39,47.286938661492343,74.548405166463112
324,CA,2010,40,215.35013107137704,27.129439436358844
325,CA,2010,41,130.85712691056429,86.559111867609886
326,CA,2010,42,101.0170425199958,162.85868385427784
327,CA,2010,43,213.23118757634319,75.516845100710384
328,CA,2010,44,215.35013107137704,27.129439436358844
329,CA,2010,45,97.766491278648942,151.08448238809842
330,CA,2010,46,252.94003013769762,155.12456739723197
331,CA,2010,47,128.33988587351359,90.086032276556779
332,CA,2010,48,127.05449593156787,199.90075492085916
333,CA,2010,49,74.596803445769112,95.706444474514598
334,CA,2010,50,73.155561101509392,151.57229356077045
335,CA,2010,51,259.54251972207436,105.97369530048516
336,CA,2010,52,178.14406983865618,157.35646585850751
337,CA,2010,53,137.24111147430088,82.605774025370422
338,CO,1970,1,50.626969824445837,37.206359689958404
339,CO,1970,2,18.956227833214243,19.460410094108255
340,CO,1970,3,21.910398939294659,15.157808448233277
341,CO,1970,4,19.917242442250423,28.506882064201005
342,CO,1970,5,24.429807837505834,46.212714881830109
343,CO,1980,1,88.647006775393095,47.000597223857625
344,CO,1980,2,55.855572534959947,39.888118990552385
345,CO,1980,3,10.500337335826709,7.1169927712851502
346,CO,1980,4,15.938188279255611,33.516507749689623
347,CO,1980,5,15.705894357430941,37.316640430274866
348,CO,1980,6,81.931281587553357,148.73615129252454
349,CO,1990,1,52.530328828950701,27.533149560594325
350,CO,1990,2,61.905541181056364,44.215474369520237
351,CO,1990,3,25.940096873470406,50.903592795465052
352,CO,1990,4,31.819130354951362,52.297374176694319
353,CO,1990,5,58.936479790169876,159.37132851980274
354,CO,1990,6,31.121934524316519,49.960149034541473
355,CO,2000,1,118.00855578612646,44.821442583409151
356,CO,2000,2,78.679148143787614,41.741461131338134
357,CO,2000,3,13.267135128572999,12.581094537179659
358,CO,2000,4,51.670734284669251,56.548628068877534
359,CO,2000,5,23.695927469294684,48.866730158718362
360,CO,2000,6,44.015638441737906,76.341768044434716
361,CO,2000,7,34.393539821372215,29.273688926857218
362,CO,2010,1,315.30544069947405,130.32723412825499
363,CO,2010,2,262.25748225514832,184.01642443663627
364,CO,2010,3,138.97028655624916,196.85007737795607
365,CO,2010,4,79.745181179634443,152.54430427654563
366,CO,2010,5,95.85270422151757,166.62637309124347
367,CO,2010,6,206.68896479880948,236.92347771681048
368,CO,2010,7,280.86067267849035,215.00916720600455
369,CT,1970,1,71.375865395956154,46.729150477671048
370,CT,1970,2,10.533936139794422,8.0729177336772491
371,CT,1970,3,28.81297106784837,22.150690294313382
372,CT,1970,4,39.835358388901334,59.90539715156185
373,CT,1970,5,23.1380236285789,26.459879149952755
374,CT,1970,6,68.50438852528471,44.108379073912658
375,CT,1980,1,50.224914200296389,20.780865604180374
376,CT,1980,2,57.580286801276969,37.906948268074373
377,CT,1980,3,25.272492250756521,18.087990743006081
378,CT,1980,4,11.071390688624911,21.483229067403158
379,CT,1980,5,11.612874297332732,15.064020200801226
380,CT,1980,6,17.7607103928753,31.869745758170584
381,CT,1990,1,42.16684941075755,18.35208042631043
382,CT,1990,2,48.665977868786918,42.515908585226434
383,CT,1990,3,78.524361597557117,35.116693256609857
384,CT,1990,4,18.810011810558297,39.008616293148606
385,CT,1990,5,50.046714509332389,51.317740452386403
386,CT,1990,6,16.470971788424205,28.245432042552022
387,CT,2000,1,62.555056954418838,26.862085847253944
388,CT,2000,2,22.48736338020657,19.249991808859949
389,CT,2000,3,54.527413353994326,19.92427947181698
390,CT,2000,4,33.522565081110933,37.383262985892479
391,CT,2000,5,24.120196276710551,23.324229588086041
392,CT,2010,1,135.77215085920301,67.487752568552679
393,CT,2010,2,184.94806833084471,94.02385668442399
394,CT,2010,3,144.16719135138698,61.155467429958982
395,CT,2010,4,159.08764205190931,115.80622175129105
396,CT,2010,5,160.32095154319401,134.66128254084916
397,DE,1970,1,37.330025747479148,53.851085320860726
398,DE,1980,1,45.05643662572605,27.094186523719515
399,DE,1990,1,22.219419807950647,46.054010908246447
400,DE,2000,1,9.9006251485261512,15.629938971095767
401,DE,2010,1,138.14018007571258,85.766689295831981
402,FL,1970,1,91.150549100574622,55.57435466753698
403,FL,1970,2,56.337742298315781,18.192998211809698
404,FL,1970,3,73.871838041446665,19.0933684827605
405,FL,1970,4,38.881684520415611,20.315484794294925
406,FL,1970,5,35.794975401459283,40.16683983800452
407,FL,1970,6,16.290640436336201,45.939494702759262
408,FL,1970,7,80.347503792264646,36.831945630572314
409,FL,1970,8,41.031507345276381,26.095447002877421
410,FL,1970,9,3.4743883620279075,4.2831371492570023
411,FL,1970,10,15.269903849923837,36.44115873774102
412,FL,1970,11,80.040424365602917,57.105278432442724
413,FL,1970,12,19.674399994728422,21.413020831514185
414,FL,1970,13,38.332788281018189,15.087888641038019
415,FL,1970,14,52.919932911836057,23.191547586911568
416,FL,1970,15,35.712048652130228,17.221529604482104
417,FL,1980,1,32.214178073243765,17.980560444822984
418,FL,1980,2,128.82256665560817,89.231264436139838
419,FL,1980,3,71.333199092474089,20.247363479523415
420,FL,1980,4,21.76444536749754,17.033180478088365
421,FL,1980,5,102.62181927227098,150.05086527995419
422,FL,1980,6,15.296595454412714,12.818094274839666
423,FL,1980,7,56.01238132075504,28.245567876342676
424,FL,1980,8,31.791000967682336,104.21854858621798
425,FL,1980,9,10.636369642007343,19.605468085957437
426,FL,1980,10,33.428936782925291,73.822599697108728
427,FL,1980,11,29.419719548639424,17.044999642825093
428,FL,1980,12,125.06681939042205,138.56962970437993
429,FL,1980,13,37.174566758921323,89.132888820014756
430,FL,1980,14,25.673628193240582,14.061704897888388
431,FL,1980,15,50.99382633237024,87.336042666512242
432,FL,1980,16,55.761396637364307,28.973917692597347
433,FL,1980,17,140.36572985859999,38.860820961116744
434,FL,1980,18,12.700677224373099,8.0058490085637466
435,FL,1980,19,56.641902661267004,30.092056481715812
436,FL,1990,1,15.745292787405367,23.737868720171441
437,FL,1990,2,48.071181984271519,24.035255769408934
438,FL,1990,3,124.88331483272282,89.565949680393061
439,FL,1990,4,47.977108550319393,81.215712592711157
440,FL,1990,5,75.379018236347818,52.098347802175979
441,FL,1990,6,83.687618056535754,164.60260242115385
442,FL,1990,7,28.152614119532991,49.371063305995996
443,FL,1990,8,22.577480290819611,38.438489092921614
444,FL,1990,9,54.607935329036515,95.439136308956847
445,FL,1990,10,58.039444001853411,90.608244999641187
446,FL,1990,11,65.585156223245178,48.130845876299674
447,FL,1990,12,45.377821842944485,64.933314751792921
448,FL,1990,13,71.815987165188687,117.28860822831962
449,FL,1990,14,58.870388398297202,163.20898128804575
450,FL,1990,15,42.635368789393233,54.575848358148214
451,FL,1990,16,81.31993273144252,128.39778563242342
452,FL,1990,17,100.54886178917567,12.739861280620513
453,FL,1990,18,84.106281872522402,168.97229790871245
454,FL,1990,19,104.04300837789752,52.297171688374206
455,FL,1990,20,127.28696794116414,78.843033759199642
456,FL,1990,21,54.313028735261589,160.8031590767217
457,FL,1990,22,42.964807143452703,60.347959661607632
458,FL,1990,23,80.650394828483115,31.902990620538358
459,FL,2000,1,39.859303040025274,105.06588488050492
460,FL,2000,2,26.905684961873934,19.013769169772647
461,FL,2000,3,143.45455258847613,87.396053367359926
462,FL,2000,4,78.019527557013589,159.29957858435353
463,FL,2000,5,29.125379235328026,45.653967551465442
464,FL,2000,6,80.70309911858628,135.15491895459149
465,FL,2000,7,57.891490930956195,100.35417543288875
466,FL,2000,8,31.730780509062004,42.655656304969973
467,FL,2000,9,24.673610259016399,46.784215700996114
468,FL,2000,10,59.031720430698613,111.80487936463484
469,FL,2000,11,75.323882778611591,36.581550786366741
470,FL,2000,12,59.498099367193809,85.395085619147636
471,FL,2000,13,28.41772359742264,38.835994639770952
472,FL,2000,14,54.663949971482367,119.29876978504139
473,FL,2000,15,46.267587370314203,72.58582649755455
474,FL,2000,16,22.936768915517515,36.057652481622107
475,FL,2000,17,177.57510601391459,58.164347255315768
476,FL,2000,18,34.939851343826703,64.520394141912462
477,FL,2000,19,96.36543613295683,43.987581563847698
478,FL,2000,20,107.952788359274,54.708272685385168
479,FL,2000,21,124.93347224242021,176.22571546154407
480,FL,2000,22,24.95215008106948,30.03000576583948
481,FL,2000,23,134.95154399884296,34.172393201963835
482,FL,2000,24,25.480566370127086,31.094003013827162
483,FL,2000,25,54.894205689427729,74.58437650109623
484,FL,2010,1,76.254556700214494,196.30020282860957
485,FL,2010,2,22.291189233659608,29.702629521547745
486,FL,2010,3,68.282299562321271,121.57732885048814
487,FL,2010,4,139.86614774156953,355.5883583672088
488,FL,2010,5,118.96525884205113,57.158678368973916
489,FL,2010,6,140.2243055352906,205.53971729188285
490,FL,2010,7,29.47881577353218,40.519832995456184
491,FL,2010,8,116.79661746359245,210.39351705006067
492,FL,2010,9,159.31237601484682,112.86525321604168
493,FL,2010,10,17.299010736971308,16.937833867592527
494,FL,2010,11,152.44600347996703,298.35854474397973
495,FL,2010,12,150.14923513897998,308.28715868257819
496,FL,2010,13,93.705399619964552,104.7069381012537
497,FL,2010,14,136.42571389553737,70.490953321365922
498,FL,2010,15,206.10251065249724,293.88648174494915
499,FL,2010,16,94.864800855285282,132.7523904496679
500,FL,2010,17,118.21799121148061,193.4760911849535
501,FL,2010,18,48.496910261223405,45.593908052774069
502,FL,2010,19,156.00879519367342,292.33687453002335
503,FL,2010,20,293.92902217249667,69.402059610397728
504,FL,2010,21,360.77990848706253,202.20572461371418
505,FL,2010,22,232.14242411988775,173.71107962971476
506,FL,2010,23,198.02471925014586,123.11923575262821
507,FL,2010,24,205.96399199845786,24.294733993316147
508,FL,2010,25,216.10909582347364,358.04157116145564
509,FL,2010,26,71.164998342443397,73.311157213382259
510,FL,2010,27,115.01297566371198,160.66276458960067
511,GA,1970,1,65.058794353241282,10.501269417065425
512,GA,1970,2,90.766417088537082,32.56962380289383
513,GA,1970,3,57.321233271435979,7.6187720850777874
514,GA,1970,4,4.5153199405445941,3.0651072421701988
515,GA,1970,5,23.016243193731764,10.762255946136756
516,GA,1970,6,43.650045276445042,48.535473509147835
517,GA,1970,7,29.645060357515934,20.045918170673406
518,GA,1970,8,55.79020763572165,25.099335796705397
519,GA,1970,9,55.237548092153041,18.84662034508732
520,GA,1970,10,53.133736349557843,17.339663728455914
521,GA,1980,1,42.324515955476024,17.180077750227582
522,GA,1980,2,79.702440446894528,39.393093174518683
523,GA,1980,3,43.646608230371605,16.916802330564472
524,GA,1980,4,27.691994477377499,23.233683069548427
525,GA,1980,5,29.779377620373634,7.315793008658086
526,GA,1980,6,27.392996831721966,38.833119343454634
527,GA,1980,7,72.243174176998181,45.181237888938959
528,GA,1980,8,42.931446984389282,12.825063079356127
529,GA,1980,9,34.377219511410225,18.065893057390355
530,GA,1980,10,96.232446691093401,56.345706829441703
531,GA,1990,1,20.676737091983195,43.463234875891217
532,GA,1990,2,51.532305079403187,36.075189399459902
